R;G;B;A;Count
105;102;119;255;50
80;60;77;255;38
94;71;91;255;101
31;23;30;255;44
65;49;63;255;44
50;38;49;255;16
119;1;1;255;28
192;164;164;255;22
225;212;212;255;64
123;51;35;255;187
214;181;182;255;36
164;90;92;255;9
162;131;148;255;11
80;61;51;255;44
117;89;75;255;90
157;120;102;255;12
190;112;92;255;8
193;164;81;255;28
191;139;133;255;15
224;209;182;255;12
97;26;36;255;5
155;42;58;255;12
181;174;191;255;47
135;124;151;255;6
207;175;137;255;35
255;222;172;255;42
172;172;172;255;16
157;134;105;255;15
122;104;80;255;8
159;167;172;255;54
120;131;138;255;97
86;94;100;255;55
212;255;181;255;44
88;83;94;255;34
67;63;72;255;8
79;51;53;255;16
122;74;77;255;23
255;231;231;255;122
201;100;100;255;6
221;157;157;255;36
207;247;207;255;19
163;209;160;255;5
156;133;150;255;46
122;98;115;255;38
80;64;75;255;21
89;69;80;255;12
219;219;239;255;33
186;186;209;255;43
145;144;157;255;18
34;30;33;255;68
42;39;46;255;110
85;115;176;255;26
67;93;145;255;40
161;161;161;255;66
182;173;1;255;8
137;137;137;255;68
195;155;7;255;34
247;187;67;255;41
205;146;57;255;32
89;117;172;255;6
65;87;130;255;6
171;59;59;255;4
132;45;45;255;3
151;192;130;255;64
102;153;76;255;56
76;113;56;255;42
227;143;143;255;51
195;93;93;255;21
94;24;35;255;31
122;32;46;255;119
67;17;25;255;59
175;54;72;255;80
6;0;0;255;195
202;202;202;255;30
84;84;84;255;24
236;235;201;255;51
226;224;173;255;59
187;179;131;255;18
255;0;0;255;141
188;188;188;255;56
226;0;0;136;102
173;93;101;255;18
211;115;125;255;26
124;66;72;255;5
105;0;0;255;19
84;45;49;255;2
207;156;155;255;1672
227;198;197;255;1988
185;115;113;255;887
45;45;45;255;85
29;29;29;255;18
29;29;29;0;10
113;88;73;255;8
87;68;56;255;7
107;79;67;255;32
148;109;85;255;70
207;165;126;255;128
235;235;235;255;147
171;128;78;255;11
193;159;120;255;29
211;186;158;255;8
169;168;168;255;6
229;128;128;255;1
193;128;128;255;2
69;0;0;255;2
70;0;0;255;2
94;0;0;255;6
75;75;75;255;14
95;78;78;255;32
126;103;103;255;17
69;57;57;255;15
116;66;72;255;71
90;51;56;255;34
159;90;99;255;27
57;31;34;255;5
95;31;23;255;77
86;70;57;255;13
69;56;47;255;1
71;58;48;255;1
189;171;159;255;125
150;126;113;255;47
31;27;26;255;1
85;74;72;255;27
12;9;8;255;1
28;24;23;255;1
53;45;46;255;9
36;32;30;255;1
65;55;55;255;1
19;16;13;255;1
64;55;54;255;9
75;65;64;255;1
8;5;5;255;1
47;40;41;255;1
30;26;25;255;1
2;2;2;255;1
16;15;12;255;1
57;46;37;255;11
2;2;0;255;264
25;20;14;255;1
87;87;87;255;73
59;59;59;255;54
171;171;171;255;3
110;110;110;255;497
184;176;201;255;24
101;94;122;255;20
142;135;162;255;16
206;201;218;255;34
186;181;198;255;29
109;144;178;255;169
86;108;138;255;9
70;84;107;255;3
155;161;185;255;44
108;112;133;255;39
59;58;69;255;23
248;197;241;255;23
232;167;219;255;24
191;131;181;255;10
48;48;48;255;593
215;155;177;255;44
195;118;142;255;56
164;98;122;255;43
169;118;135;255;22
128;92;104;255;23
214;39;39;255;25
176;32;32;255;29
133;19;19;255;60
86;51;45;255;4
118;70;62;255;2
97;21;21;255;67
144;105;90;255;182
3;0;0;255;410
183;65;182;255;34
209;117;208;255;54
68;19;67;255;37
74;74;74;255;42
97;27;96;255;45
131;36;130;255;43
139;49;138;255;8
108;141;78;255;112
149;181;120;255;141
216;146;215;255;45
156;68;155;255;8
195;101;194;255;50
137;108;116;255;20
163;138;145;255;112
230;224;225;255;38
147;129;118;255;22
230;226;224;255;14
247;215;107;255;80
139;202;238;255;45
191;97;97;255;4
181;140;120;255;23
131;74;70;255;36
198;173;134;255;60
233;205;159;255;75
101;72;89;255;43
136;99;121;255;32
99;42;67;255;17
84;37;58;255;7
141;44;83;255;6
