R;G;B;A;Count
255;255;255;50;125
255;255;255;28;155
255;255;255;89;85
255;255;255;155;74
255;255;255;190;57
255;255;255;147;42
255;255;255;17;196
255;255;255;132;55
255;255;255;192;42
255;255;255;220;52
255;255;255;233;78
255;255;255;71;103
255;255;255;169;49
255;255;255;198;43
255;255;255;238;71
255;255;255;223;67
255;255;255;57;82
255;255;255;97;92
255;255;255;122;70
255;255;255;148;61
255;255;255;87;73
255;255;255;229;68
255;255;255;86;74
255;255;255;130;52
255;255;255;206;50
255;255;255;124;52
255;255;255;116;75
255;255;255;185;57
255;255;255;104;72
255;255;255;125;69
255;255;255;152;51
255;255;255;162;53
255;255;255;59;85
255;255;255;72;75
255;255;255;142;77
255;255;255;172;41
255;255;255;195;37
255;255;255;107;50
255;255;255;95;81
255;255;255;80;89
255;255;255;79;68
255;255;255;88;73
255;255;255;102;43
255;255;255;180;37
255;255;255;204;34
255;255;255;177;52
255;255;255;187;33
255;255;255;191;50
255;255;255;145;53
255;255;255;186;43
255;255;255;151;43
255;255;255;237;73
255;255;255;224;57
255;255;255;209;38
255;255;255;213;48
255;255;255;141;47
255;255;255;100;70
255;255;255;201;42
255;255;255;138;53
255;255;255;196;64
255;255;255;128;57
255;255;255;65;65
255;255;255;121;50
255;255;255;157;51
255;255;255;188;44
255;255;255;115;65
255;255;255;144;39
255;255;255;163;40
255;255;255;103;57
255;255;255;133;45
255;255;255;205;27
255;255;255;199;32
2;0;0;8;3
2;0;0;1;15
2;0;0;11;3
2;0;0;24;3
2;0;0;29;3
183;183;183;255;728
178;178;178;255;525
255;220;152;255;443
167;114;53;255;66
151;151;151;255;5428
255;115;115;255;131
175;175;215;255;21
63;42;0;255;285
153;102;0;0;15
184;87;87;255;19
116;49;49;255;15
59;59;59;255;2169
44;44;44;255;3038
114;19;19;255;1168
31;31;31;255;10177
155;155;203;255;24
195;195;227;255;12
114;19;19;2;2
114;19;19;4;1
114;19;19;10;2
114;19;19;7;2
114;19;19;15;1
114;19;19;11;1
