R;G;B;A;Count;FileCount
185;115;113;0;81295;16
231;231;231;0;50778;1
0;106;247;255;5422;1
95;151;241;255;8061;1
0;38;247;255;5675;1
161;95;124;0;41673;1
75;29;49;255;217;1
147;84;112;255;324;1
0;0;180;255;20;1
244;154;194;0;191;1
95;151;241;0;36;1
0;0;180;0;8;1
0;38;247;0;14;1
213;134;0;0;18;1
78;78;78;255;1326;4
186;102;102;255;400;2
255;151;151;255;196;2
51;51;51;0;99;1
57;181;74;0;5363;2
137;137;137;0;2552;3
106;106;106;0;374;1
64;64;64;255;746;2
43;43;43;255;407;1
22;22;22;255;58;1
22;22;22;0;5;1
172;172;172;255;5229;7
183;183;183;0;27;1
64;64;64;0;12;1
158;144;147;255;2315;9
199;192;200;255;5527;9
227;224;228;255;52;4
112;101;103;255;815;9
158;144;147;0;3;1
60;50;51;255;124;4
187;187;187;255;849;27
14;0;0;0;8;1
228;222;229;255;213;13
104;96;100;255;88;4
140;98;57;0;29;3
96;57;19;0;6;2
52;29;17;0;1253;5
60;38;30;0;58;2
125;125;125;255;9139;9
37;37;37;0;2215;7
29;29;29;255;1263;5
37;37;37;255;7970;11
29;29;29;0;51803;4
54;54;54;255;6696;10
85;83;72;255;13;1
6;4;3;255;6;1
114;111;94;255;37;2
61;59;50;255;26;2
87;23;23;255;4305;8
56;15;15;255;1275;4
61;59;50;0;25520;1
121;32;32;255;7401;10
114;111;94;0;37;1
84;84;84;0;4117;14
54;54;54;0;15365;3
3;3;3;255;20296;11
113;113;113;255;30;1
33;9;9;255;8;1
68;18;18;255;14;2
147;147;147;255;1;1
113;113;113;0;3;1
74;19;19;255;1;1
95;25;25;255;1;1
52;14;14;255;8;2
87;23;23;0;39;1
196;51;51;255;538;2
56;15;15;0;5;1
121;32;32;0;9;1
196;51;51;0;3;1
59;59;59;255;123;1
163;31;31;255;172;1
209;41;41;255;114;1
129;129;129;255;185;1
242;165;165;255;45;1
255;233;233;255;63;1
228;96;96;255;113;1
85;85;85;255;3975;8
17;17;17;255;539;4
35;35;35;255;1673;4
90;0;0;255;10;1
17;17;17;0;14747;2
163;31;31;0;1;1
158;11;15;0;1398;2
238;28;36;255;6466;3
76;0;0;0;1510;1
76;0;0;255;629;1
58;0;0;255;262;2
58;0;0;0;10586;2
198;196;196;0;1;1
94;6;9;0;7063;1
94;6;9;255;298;1
180;169;168;0;20;6
18;1;2;255;13205;2
